UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
3817,"Atlanta, GA",5100112,59761744,3591393,344591184,54245615,"$606,814,743.00 ",99,17999183,180954375,"$228,408,772.00 ",41762561,163636809,"$378,405,971.00 ",99,17999183,91.3,1065439
9271,"Boston, MA--NH",4382009,95836195,6947775,894527328,208730262,"$1,817,666,736.00 ",935,54104911,688390288,"$1,097,228,041.00 ",41731284,206137040,"$720,438,695.00 ",881.2,53451012,1.6,14280
69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,42828506,3108195,161366227,34758115,"$382,463,544.00 ",55,2910377,55617401,"$55,868,943.00 ",39918129,105748826,"$326,594,601.00 ",50.8,2701733,246.3,584465
23824,"Detroit, MI",3776890,24776838,1479278,88311419,13970714,"$228,912,238.00 ",10,139825,742781,"$21,268,042.00 ",24637013,87568638,"$207,644,196.00 ",2.9,20045,0,0
80389,"Seattle--Tacoma, WA",3544011,87371839,6285924,717369709,123904514,"$1,708,274,473.00 ",521,14365481,305593890,"$593,388,256.00 ",73006358,411775819,"$1,114,886,217.00 ",471.6,11221277,243.9,8552042
78904,"San Francisco--Oakland, CA",3515933,127505596,8074113,867742232,174947309,"$2,301,436,738.00 ",738,69777898,548454322,"$1,170,200,367.00 ",57727698,319287910,"$1,131,236,371.00 ",662.2,65274927,13.7,364311
78661,"San Diego, CA",3070300,52003146,3370186,413715975,63873516,"$439,364,529.00 ",289,14638960,237847939,"$176,140,035.00 ",37364186,175868036,"$263,224,494.00 ",271.1,13468683,0.1,2559
57628,"Minneapolis--St. Paul, MN",2914866,56536861,3774728,213831800,45685064,"$578,700,174.00 ",135,4486739,54190425,"$102,785,443.00 ",52050122,159641375,"$475,914,731.00 ",134.1,4355450,204,2095249
86599,"Tampa--St. Petersburg, FL",2783045,23106959,1603975,110567348,20308310,"$208,559,396.00 ",5,123616,1516343,"$2,780,595.00 ",22983343,109051005,"$205,778,801.00 ",5.4,123616,1.1,65396
23527,"Denver--Aurora, CO",2686147,46872936,3081464,345743786,56392665,"$622,935,564.00 ",228,16920856,195467282,"$256,648,667.00 ",29952080,150276504,"$366,286,897.00 ",159,13749485,1.5,26696
